buyerIndex,userId,joinedAt,admittedAt,waitMs,admissionWave,outcome,relinquishedAt,confirmationStatus
1,6d4610af-c650-4d88-b6b5-322e09963e5e,2026-09-09T08:19:47.639Z,2026-09-09T08:19:50.426Z,2787,1,ORDER_CREATED,,201
2,c98256c3-13e9-4071-ab5a-e1f8a4402f17,2026-09-09T08:19:47.640Z,2026-09-09T08:19:50.427Z,2787,1,ORDER_CREATED,,201
3,afea2d02-5bc7-4909-b028-416878545ce6,2026-09-09T08:19:47.641Z,2026-09-09T08:19:51.318Z,3677,1,RELINQUISHED,2026-09-09T08:20:01.027Z,
4,3cb8aab6-01b5-423e-ab0d-6a2a2ffff395,2026-09-09T08:19:47.641Z,2026-09-09T08:19:50.440Z,2799,1,ORDER_CREATED,,201
5,3e199044-2b02-4b61-8645-3152c03e39a2,2026-09-09T08:19:47.642Z,2026-09-09T08:19:50.441Z,2799,1,ORDER_CREATED,,201
6,b6fbb842-ea8f-4f65-a5fa-631d01086a90,2026-09-09T08:19:47.642Z,2026-09-09T08:19:52.194Z,4552,1,RELINQUISHED,2026-09-09T08:20:03.811Z,
7,601ecf1e-31d9-43de-8964-713e82d7fb60,2026-09-09T08:19:47.643Z,2026-09-09T08:19:53.063Z,5420,1,RELINQUISHED,2026-09-09T08:20:03.812Z,
8,52c2529e-ae72-42a9-a20f-77cf6ffe24a0,2026-09-09T08:19:47.644Z,2026-09-09T08:19:51.339Z,3695,1,RELINQUISHED,2026-09-09T08:20:01.027Z,
9,78af46ad-3f33-4dd3-bf10-ecab68ed999c,2026-09-09T08:19:47.644Z,2026-09-09T08:19:53.952Z,6308,1,RELINQUISHED,2026-09-09T08:20:06.534Z,
10,ab3f45ae-b3ee-489e-aba8-c83226325d8b,2026-09-09T08:19:47.645Z,2026-09-09T08:19:58.286Z,10641,2,RELINQUISHED,2026-09-09T08:20:09.102Z,
11,9f6c49bd-08b7-4a4e-ab04-56de446f964c,2026-09-09T08:19:47.645Z,2026-09-09T08:19:50.467Z,2822,1,ORDER_CREATED,,201
12,bad6a6a5-e163-4933-b35e-94e63b9efd63,2026-09-09T08:19:47.645Z,2026-09-09T08:19:50.468Z,2823,1,RELINQUISHED,2026-09-09T08:20:01.025Z,
13,bb31e9da-34e8-47f9-a256-ed2a7760f1f7,2026-09-09T08:19:47.645Z,2026-09-09T08:19:50.468Z,2823,1,RELINQUISHED,2026-09-09T08:20:01.026Z,
14,bd04f4da-37ab-4a3f-afec-c55c7dd1b8cd,2026-09-09T08:19:47.646Z,2026-09-09T08:19:51.358Z,3712,1,RELINQUISHED,2026-09-09T08:20:01.027Z,
15,51acd83d-d912-4b2c-870b-01b41d63d4ec,2026-09-09T08:19:47.646Z,2026-09-09T08:19:50.480Z,2834,1,RELINQUISHED,2026-09-09T08:20:01.026Z,
16,c81966ac-3ff1-428f-abd6-555d742e8ff4,2026-09-09T08:19:47.646Z,2026-09-09T08:19:51.358Z,3712,1,RELINQUISHED,2026-09-09T08:20:01.028Z,
17,b97b9406-8bf7-4da7-a78e-d3fddf81f287,2026-09-09T08:19:47.646Z,2026-09-09T08:19:50.481Z,2835,1,RELINQUISHED,2026-09-09T08:20:01.027Z,
